lat,lon
-23.6116455,-46.6284905
-23.5947018,-46.6522327
-23.5680732,-46.5880018
-23.5673847,-46.5885988
-23.5672472,-46.5881842
-23.5686408,-46.5885151
-23.6525778,-46.6587144
-23.6407891,-46.6672546
-23.6459882,-46.6637999
-23.6243754,-46.6625207
-23.6243068,-46.6619786
-23.5560353,-46.6586169
-23.4760563,-46.7035
-23.4767008,-46.7042671
-23.4878647,-46.6977762
-23.4845936,-46.7006968
-23.6104103,-46.6862755
-23.6107495,-46.6861843
-23.6121194,-46.6791748
-23.6130385,-46.6800063
-23.6136136,-46.6825383
-23.6140806,-46.6819643
-23.6123389,-46.6804327
-23.4336759,-46.7145275
-23.5820894,-46.5926246
-23.5715115,-46.5904587
-23.5782691,-46.5862801
-23.5788223,-46.5866206
-23.5782729,-46.5872695
-23.5773625,-46.5916788
-23.5725112,-46.5873406
-23.5652343,-46.5948972
-23.574306,-46.5861645
-23.5818436,-46.5900581
-23.5664223,-46.597925
-23.5541192,-46.6027853
-23.6265494,-46.7368655
-23.6307664,-46.6047713
-23.558203,-46.6873584
-23.5439211,-46.4440081
-23.5705398,-46.6984329
-23.5560155,-46.6584189
-23.5568208,-46.6590068
-23.5326133,-46.6707794
-23.5532238,-46.6550407
-23.5521679,-46.6530923
-23.6110649,-46.6206336
-23.5963456,-46.5748192
-23.6026981,-46.6178521
-23.5512952,-46.6785332
-23.613946,-46.6174006
-23.6139133,-46.6170756
-23.6260222,-46.6190165
-23.5853031,-46.679712
-23.5885272,-46.6628498
-23.5331194,-46.6773515
-23.5339183,-46.6729498
-23.5341983,-46.6725904
-23.5367844,-46.6687367
-23.5356725,-46.6704075
-23.5343877,-46.6723838
-23.5830802,-46.6813934
-23.6177092,-46.6052825
-23.5806762,-46.6385537
-23.6135744,-46.7427228
-23.615086,-46.7403467
-23.6322537,-46.6046353
-23.5879874,-46.6427407
-23.5948748,-46.6377249
-23.5577098,-46.6400676
-23.6533442,-46.6805678
-23.5981196,-46.5708303
-23.5961654,-46.5722729
-23.5990804,-46.5748723
-23.542335,-46.6405953
-23.6445184,-46.6969172
-23.5042342,-46.6397315
-23.6074323,-46.6950648
-23.5936667,-46.6246335
-23.6064819,-46.6919521
-23.6042045,-46.6662238
-23.5943447,-46.6829915
-23.5585802,-46.6593523
-23.6907253,-46.7102963
-23.6048846,-46.6936599
-23.6094226,-46.6946409
-23.596665,-46.3978612
-23.5849678,-46.4017466
-23.536867,-46.6881497
-23.5363208,-46.6890509
-23.607119,-46.693815
-23.607553,-46.693256
-23.5541744,-46.6476537
-23.5974519,-46.6402969
-23.6070881,-46.6932918
-23.6065235,-46.6916047
-23.6102054,-46.6951179
-23.5790056,-46.6292751
-23.6080859,-46.6924935
-23.740812,-46.6851822
-23.7409495,-46.6853431
-23.7325569,-46.6969956
-23.7356484,-46.6881298
-23.7140166,-46.6984757
-23.6063555,-46.6925517
-23.594901,-46.6832743
-23.5956015,-46.682703
-23.5976268,-46.6868041
-23.5981602,-46.6855729
-23.5985731,-46.6843659
-23.5991827,-46.6834057
-23.6007115,-46.6796131
-23.6773928,-46.6750568
-23.552837,-46.5992495
-23.6334281,-46.6254581
-23.5376629,-46.650621
-23.5415619,-46.6585951
-23.5404375,-46.6515966
-23.5404843,-46.651402
-23.5405779,-46.6510335
-23.5422847,-46.6716229
-23.6088504,-46.638091
-23.4824265,-46.4939152
-23.5346958,-46.5684671
-23.5631795,-46.7520225
-23.5406643,-46.5661623
-23.5398531,-46.5650604
-23.5428226,-46.5649613
-23.5481346,-46.5631388
-23.5474675,-46.5614305
-23.5528867,-46.564338
-23.5481609,-46.5684632
-23.5481707,-46.5685705
-23.5481218,-46.5682913
-23.5415368,-46.5708241
-23.5439277,-46.5642189
-23.5462069,-46.5739851
-23.5262217,-46.5269904
-23.5272344,-46.527935
-23.527441,-46.5314434
-23.5227709,-46.5315507
-23.5323084,-46.5167189
-23.5022827,-46.6305363
-23.5561062,-46.6581768
-23.554896,-46.6568895
-23.5560324,-46.6914081
-23.5403924,-46.5915606
-23.557468,-46.647419
-23.6040659,-46.6593843
-23.6038937,-46.6592412
-23.604397,-46.6590508
-23.6046011,-46.6586969
-23.6046793,-46.6587721
-23.5958023,-46.6222063
